"","region","nombre_region","comuna","nombre_comuna","p_2002","p_2003","p_2004","p_2005","p_2006","p_2007","p_2008","p_2009","p_2010","p_2011","p_2012","p_2013","p_2014","p_2015","p_2016","p_2017","p_2018","p_2019","p_2020","p_2021","p_2022","p_2023","p_2024","p_2025","p_2026","p_2027","p_2028","p_2029","p_2030"
"1",1,"Tarapacá",1101,"Iquique",173611,169002,167413,167784,169377,171709,174518,177526,180556,183931,187366,190437,193643,196728,199592,202891,209409,216514,223463,227127,229072,230595,231962,233228,234407,235492,236481,237379,238173
"2",1,"Tarapacá",1107,"Alto Hospicio",53625,63806,71062,76126,79924,83105,86042,88877,91654,94617,97654,100566,103622,106694,109732,113098,118379,124150,129999,134085,137263,140282,143294,146337,149416,152532,155681,158866,162080
"3",1,"Tarapacá",1401,"Pozo Almonte",9833,9837,9999,10271,10612,10998,11412,11839,12267,12717,13170,13595,14028,14451,14853,15286,15960,16683,17395,17853,18172,18452,18713,18962,19198,19422,19632,19831,20016
"4",1,"Tarapacá",1402,"Camiña",1325,1271,1242,1226,1222,1222,1226,1232,1237,1246,1254,1260,1267,1273,1278,1286,1314,1345,1375,1384,1383,1379,1374,1371,1365,1360,1355,1349,1344
"5",1,"Tarapacá",1403,"Colchane",1636,1564,1522,1499,1488,1484,1483,1484,1486,1489,1494,1495,1497,1499,1498,1500,1527,1556,1583,1588,1579,1569,1558,1546,1534,1522,1510,1497,1485
"6",1,"Tarapacá",1404,"Huara",2615,2517,2467,2449,2450,2463,2483,2508,2532,2564,2596,2624,2654,2685,2712,2748,2826,2914,3000,3043,3063,3080,3095,3111,3125,3140,3156,3170,3185
"7",1,"Tarapacá",1405,"Pica",3620,3628,3689,3786,3903,4033,4170,4307,4440,4579,4717,4841,4967,5087,5200,5320,5525,5744,5958,6085,6165,6231,6291,6348,6402,6452,6500,6544,6585
"8",2,"Antofagasta",2101,"Antofagasta",300303,305302,310271,315097,319944,325014,330287,335467,340633,345973,351234,356933,363207,369028,374882,381635,395387,410618,425725,433712,437883,441211,444276,447224,450070,452820,455463,458002,460437
"9",2,"Antofagasta",2102,"Mejillones",8400,8682,8965,9246,9529,9818,10116,10411,10706,11008,11306,11619,11950,12267,12586,12933,13510,14143,14776,15168,15430,15659,15877,16087,16291,16487,16676,16860,17036
"10",2,"Antofagasta",2103,"Sierra Gorda",1302,1319,1337,1355,1371,1388,1406,1423,1441,1460,1478,1497,1519,1539,1559,1582,1633,1690,1746,1772,1784,1792,1800,1806,1813,1818,1823,1828,1832
