"","region","periodo","poblacion"
"1",1,2002,246265
"2",1,2003,251625
"3",1,2004,257394
"4",1,2005,263141
"5",1,2006,268976
"6",1,2007,275014
"7",1,2008,281334
"8",1,2009,287773
"9",1,2010,294172
"10",1,2011,301143
"11",1,2012,308251
"12",1,2013,314818
"13",1,2014,321678
"14",1,2015,328417
"15",1,2016,334865
"16",1,2017,342129
"17",1,2018,354940
"18",1,2019,368906
"19",1,2020,382773
"20",1,2021,391165
"21",1,2022,396697
"22",1,2023,401588
"23",1,2024,406287
"24",1,2025,410903
"25",1,2026,415447
"26",1,2027,419920
"27",1,2028,424315
"28",1,2029,428636
"29",1,2030,432868
"30",2,2002,502741
"31",2,2003,510045
"32",2,2004,517333
"33",2,2005,524422
"34",2,2006,531553
"35",2,2007,539071
"36",2,2008,546939
"37",2,2009,554646
"38",2,2010,562331
"39",2,2011,570307
"40",2,2012,578137
"41",2,2013,586685
"42",2,2014,596155
"43",2,2015,604877
"44",2,2016,613640
"45",2,2017,623851
"46",2,2018,645022
"47",2,2019,668563
"48",2,2020,691854
"49",2,2021,703746
"50",2,2022,709637
"51",2,2023,714142
"52",2,2024,718232
"53",2,2025,722120
"54",2,2026,725843
"55",2,2027,729405
"56",2,2028,732792
"57",2,2029,736010
"58",2,2030,739057
"59",3,2002,263924
"60",3,2003,266544
"61",3,2004,268999
"62",3,2005,271434
"63",3,2006,274064
"64",3,2007,276858
"65",3,2008,279750
"66",3,2009,282769
"67",3,2010,285860
"68",3,2011,289014
"69",3,2012,291941
"70",3,2013,294709
"71",3,2014,297546
"72",3,2015,300065
"73",3,2016,302402
"74",3,2017,304580
"75",3,2018,307835
"76",3,2019,311307
"77",3,2020,314709
"78",3,2021,316737
"79",3,2022,318004
"80",3,2023,319048
"81",3,2024,319992
"82",3,2025,320864
"83",3,2026,321644
"84",3,2027,322351
"85",3,2028,322990
"86",3,2029,323566
"87",3,2030,324061
"88",4,2002,628489
"89",4,2003,637313
"90",4,2004,646251
"91",4,2005,655329
"92",4,2006,664731
"93",4,2007,674245
"94",4,2008,684510
"95",4,2009,695510
"96",4,2010,706914
"97",4,2011,718763
"98",4,2012,730943
"99",4,2013,743026
"100",4,2014,755432
"101",4,2015,768087
"102",4,2016,780310
"103",4,2017,793049
"104",4,2018,807213
"105",4,2019,821726
"106",4,2020,836096
"107",4,2021,848079
"108",4,2022,858769
"109",4,2023,869103
"110",4,2024,879267
"111",4,2025,889273
"112",4,2026,899128
"113",4,2027,908851
"114",4,2028,918417
"115",4,2029,927839
"116",4,2030,937116
"117",5,2002,1597346
"118",5,2003,1615876
"119",5,2004,1634045
"120",5,2005,1651904
"121",5,2006,1669839
"122",5,2007,1688072
"123",5,2008,1707196
"124",5,2009,1726803
"125",5,2010,1746537
"126",5,2011,1766558
"127",5,2012,1787099
"128",5,2013,1805775
"129",5,2014,1824842
"130",5,2015,1844609
"131",5,2016,1864129
"132",5,2017,1885948
"133",5,2018,1910385
"134",5,2019,1935455
"135",5,2020,1960170
"136",5,2021,1979373
"137",5,2022,1995538
"138",5,2023,2010849
"139",5,2024,2025693
"140",5,2025,2040166
"141",5,2026,2054246
"142",5,2027,2067920
"143",5,2028,2081176
